Timestamp_RPI,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Rotate_x,Rotate_y,Motion_Label
2018-01-02T11:19:30.083765,-3932,-2756,3360,4096,-2012,16624,-6,-13,7
2018-01-02T11:19:30.291012,8198,-802,2074,1892,464,15192,1,-7,7
2018-01-02T11:19:30.498208,-1791,-2821,-645,4516,400,16020,1,-15,7
2018-01-02T11:19:30.705513,-1127,-892,366,4044,5148,13912,19,-15,7
2018-01-02T11:19:30.912857,376,-450,2472,-2740,5820,16276,19,9,7
2018-01-02T11:19:31.120216,1373,-260,2622,5652,5428,22728,13,-13,7
2018-01-02T11:19:31.327474,-2279,188,2717,17160,5980,24944,11,-33,7
2018-01-02T11:19:31.534739,-3632,269,-3250,4916,8632,14016,30,-16,7
2018-01-02T11:19:31.742023,-3143,-1924,-7314,824,940,8556,6,-5,7
2018-01-02T11:19:31.949414,-3233,-691,-5754,2452,3652,9120,21,-14,7
2018-01-02T11:19:32.156642,6465,-731,1985,-5936,-4592,15860,-15,19,7
2018-01-02T11:19:32.363880,-1593,-2519,645,8336,5360,21064,13,-20,7
2018-01-02T11:19:32.571142,-12865,-1086,3189,-2676,10088,14540,34,8,7
2018-01-02T11:19:32.778541,6855,-1562,-850,14304,19896,13076,45,-30,7
2018-01-02T11:19:32.985923,-3525,2412,720,7660,18360,27500,32,-13,7
2018-01-02T11:19:33.193227,19622,1498,-3016,8904,17144,12872,47,-22,7
2018-01-02T11:19:33.400537,3680,-2459,1804,7372,18360,-3332,66,-21,7
2018-01-02T11:19:33.607808,135,591,6097,5204,-9456,19984,-24,-13,7
2018-01-02T11:19:33.819647,507,209,-632,-876,244,18144,0,2,7
2018-01-02T11:19:34.026883,2034,-3580,-2986,16676,1740,13108,4,-51,7
2018-01-02T11:19:34.235297,-1180,1170,361,4392,6608,29324,12,-8,7
2018-01-02T11:19:34.442568,-3244,-1545,-2436,-6276,12336,11496,43,20,7
2018-01-02T11:19:34.649888,1236,3873,633,-6548,10348,7568,45,27,7
2018-01-02T11:19:34.861730,4539,-8589,-1177,15860,7592,23136,15,-33,7
2018-01-02T11:19:35.069016,-3311,5420,1612,-9956,29384,196,71,18,7
2018-01-02T11:19:35.276366,8749,-7933,-841,12804,4428,-2144,18,-68,7
2018-01-02T11:19:35.483747,-2395,-2889,-453,-1632,-9812,10900,-41,6,7
2018-01-02T11:19:35.691076,-233,-2912,190,5872,19940,13328,53,-13,7
2018-01-02T11:19:35.903098,2718,-2121,888,3876,8808,5188,53,-20,7
2018-01-02T11:19:36.110538,-3679,-4299,1030,5104,5288,11328,23,-22,7
2018-01-02T11:19:36.317945,-184,1678,704,6976,620,19248,1,-19,7
2018-01-02T11:19:36.525317,6824,-24804,-7572,2924,-2800,22332,-7,-7,7
2018-01-02T11:19:36.732613,6551,11552,-5315,11820,8516,-708,35,-54,7
2018-01-02T11:19:36.940012,-15959,14727,-31,4696,-4292,16216,-14,-15,7
2018-01-02T11:19:37.147403,4946,-16059,-3271,5232,-7984,20764,-20,-13,7
2018-01-02T11:19:37.354716,3110,2622,512,5300,-6556,14472,-23,-18,7
2018-01-02T11:19:37.562035,6512,4992,-1025,3120,-4140,22116,-10,-7,7
2018-01-02T11:19:37.769503,6267,2264,-710,4012,3688,15688,12,-13,7
2018-01-02T11:19:37.980240,7044,3842,-1186,1984,-2364,15272,-8,-7,7
