Timestamp_RPI,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Rotate_x,Rotate_y,Motion_Label
2018-01-02T12:02:22.147813,1138,-329,145,184,-4316,21316,-11,0,7
2018-01-02T12:02:22.356619,3182,1529,-2008,1124,-6252,17008,-20,-3,7
2018-01-02T12:02:22.564641,1326,2002,-742,-2876,408,16328,1,9,7
2018-01-02T12:02:22.772680,3760,4064,-2518,-308,-1032,10004,-5,1,7
2018-01-02T12:02:22.980910,-1462,-347,1069,-7840,24488,20544,48,13,7
2018-01-02T12:02:23.188953,-508,971,-4597,3264,-6620,12948,-26,-12,7
2018-01-02T12:02:23.397499,11025,8394,-2466,-8716,8356,14408,26,27,7
2018-01-02T12:02:23.605849,65,1128,-7285,824,-14196,16992,-39,-2,7
2018-01-02T12:02:23.813588,-197,-1139,-4801,-828,-2708,10412,-14,4,7
2018-01-02T12:02:24.020841,2871,2389,-4152,-7196,-8872,21464,-21,17,7
2018-01-02T12:02:24.228407,3671,4425,-4856,-1504,-13340,-412,-83,6,7
2018-01-02T12:02:24.435361,12592,969,-1490,-11728,7952,27640,14,22,7
2018-01-02T12:02:24.642036,-32768,-21707,4537,-4808,-3536,8872,-19,26,7
2018-01-02T12:02:24.849122,3104,-3403,-1665,5340,4060,19392,11,-15,7
2018-01-02T12:02:25.056236,4025,-2349,-934,2936,3320,16924,10,-9,7
2018-01-02T12:02:25.264662,453,995,-7108,-7892,-28644,9932,-66,14,7
2018-01-02T12:02:25.471827,-7742,-7452,4743,-4240,-1820,15200,-6,15,7
2018-01-02T12:02:25.679069,-3590,-9492,2588,15764,-7352,15664,-18,-42,7
2018-01-02T12:02:25.886131,1515,-1080,1494,-3816,17896,22664,37,7,7
2018-01-02T12:02:26.093138,-8908,-3427,-7613,2532,-18004,-8100,-64,-7,7
2018-01-02T12:02:26.299909,-792,4825,-2388,-5588,-13408,14648,-40,15,7
2018-01-02T12:02:26.507652,30993,11566,-1076,17744,8896,23104,16,-35,7
2018-01-02T12:02:26.714440,-1880,3005,-1505,-8708,-22236,-7312,-62,20,7
2018-01-02T12:02:26.921350,3634,720,-1538,11112,-4084,21068,-9,-27,7
2018-01-02T12:02:27.128401,8966,5158,-1665,5116,2668,22136,6,-12,7
2018-01-02T12:02:27.335364,-5358,-357,-1927,3580,-18120,3684,-74,-10,7
2018-01-02T12:02:27.542183,5858,4095,-1763,8,2128,19728,6,0,7
2018-01-02T12:02:27.749665,2782,307,-601,3716,-5944,16636,-19,-11,7
2018-01-02T12:02:27.956980,-1677,-3555,1667,2100,-2260,14956,-8,-7,7
2018-01-02T12:02:28.163946,9688,1319,-736,2072,7720,29728,14,-3,7
2018-01-02T12:02:28.371001,3303,-2427,479,-1740,4900,23988,11,4,7
2018-01-02T12:02:28.577836,362,1422,246,-5144,-4144,12660,-16,21,7
2018-01-02T12:02:28.785578,1687,1694,-500,-3268,1268,14932,4,12,7
2018-01-02T12:02:28.992409,2647,3822,-287,-2756,444,18512,1,8,7
2018-01-02T12:02:29.199048,112,458,-487,1252,-5624,13872,-21,-4,7
2018-01-02T12:02:29.405898,-911,542,-955,-444,-10272,12320,-39,1,7
2018-01-02T12:02:29.612633,590,-8745,9272,1324,32767,14104,66,-2,7
2018-01-02T12:02:29.819611,-1539,3777,-4277,-14752,-26096,-9148,-56,28,7
2018-01-02T12:02:30.026587,2174,1470,992,-4808,-4344,17904,-13,14,7
2018-01-02T12:02:30.233364,3510,1211,167,5244,3076,14972,10,-18,7
2018-01-02T12:02:30.440228,-73,1772,-1407,-504,-6652,15532,-23,1,7
2018-01-02T12:02:30.646942,-1819,-2003,-1553,1644,-15980,13324,-49,-4,7
2018-01-02T12:02:30.853966,-5119,-2191,-713,-3404,-7212,3560,-55,22,7
2018-01-02T12:02:31.060873,259,-1915,-1403,2384,-6288,15188,-22,-8,7
2018-01-02T12:02:31.267727,1100,-1532,1008,1364,-2556,13964,-10,-5,7
2018-01-02T12:02:31.474536,2379,-770,2326,-1996,128,20124,0,5,7
2018-01-02T12:02:31.681521,7530,2828,-2794,6044,-2964,25116,-6,-13,7
2018-01-02T12:02:31.888684,-1459,429,926,-3400,-3988,9820,-20,17,7
2018-01-02T12:02:32.096054,-13194,1999,-5425,15324,-32768,32767,-42,-18,7
2018-01-02T12:02:32.303017,-158,-5236,-5883,29180,-30868,14612,-43,-40,7
2018-01-02T12:02:32.510209,7551,3277,702,-716,9716,14196,34,2,7
2018-01-02T12:02:32.717701,3636,-2658,869,308,-5856,20836,-15,0,7
2018-01-02T12:02:32.925564,160,-2966,4092,3300,-2248,23328,-5,-8,7
