Timestamp_RPI,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Rotate_x,Rotate_y,Motion_Label
2018-01-02T12:12:16.317668,-6494,283,147,-8744,-9328,13616,-29,27,7
2018-01-02T12:12:16.525676,-591,-4213,4579,-1496,9572,19616,25,3,7
2018-01-02T12:12:16.733506,-1375,-2236,1453,384,-13184,7456,-60,-1,7
2018-01-02T12:12:16.941516,322,1358,678,-2220,-1720,13224,-7,9,7
2018-01-02T12:12:17.149157,-1574,1355,419,-2212,-5704,10784,-27,10,7
2018-01-02T12:12:17.359364,-287,1009,432,-820,-3968,13132,-16,3,7
2018-01-02T12:12:17.566879,-882,-1944,1081,2332,-2156,12500,-9,-10,7
2018-01-02T12:12:17.774346,709,-1240,-68,1480,11060,21448,27,-3,7
2018-01-02T12:12:17.981939,1538,-2464,623,1156,-1400,19308,-4,-3,7
2018-01-02T12:12:18.189942,2032,-2107,4527,-2460,5648,18948,16,7,7
2018-01-02T12:12:18.396620,1442,-191,1850,-300,2156,18368,6,0,7
2018-01-02T12:12:18.604439,12325,4523,-2238,8416,9560,22820,21,-18,7
2018-01-02T12:12:18.811839,2297,1041,-703,4196,14484,14752,43,-11,7
2018-01-02T12:12:19.019157,4646,-61,-1665,6832,2680,18676,7,-19,7
2018-01-02T12:12:19.225968,-2299,-3972,-334,1764,16856,23476,35,-3,7
2018-01-02T12:12:19.434704,7185,-1295,1905,-512,8096,16560,26,1,7
2018-01-02T12:12:19.642012,4521,-2002,1337,2956,-2240,12800,-9,-12,7
2018-01-02T12:12:19.848903,-3514,-2943,3178,-3476,2288,11972,10,15,7
2018-01-02T12:12:20.056256,-1142,1218,1899,-736,5460,13136,22,2,7
2018-01-02T12:12:20.264050,463,-1497,1709,-1604,-11716,15780,-36,4,7
2018-01-02T12:12:20.471590,-5294,891,-508,-4920,-15540,8856,-56,15,7
2018-01-02T12:12:20.679584,-2449,-2331,2859,1288,11016,13064,40,-4,7
2018-01-02T12:12:20.888097,2027,-383,921,1508,6816,23928,15,-3,7
2018-01-02T12:12:21.096453,-6934,-3547,6292,7000,32767,-780,77,-12,7
2018-01-02T12:12:21.305150,13054,4757,-2911,7008,-32768,-6532,-73,-11,7
2018-01-02T12:12:21.513087,-3326,3135,-1120,-9524,-14032,8228,-48,30,7
2018-01-02T12:12:21.720931,-2940,-2981,1638,-620,-10672,16152,-33,1,7
2018-01-02T12:12:21.928992,-6064,-1154,-647,-2912,-14436,11916,-49,8,7
2018-01-02T12:12:22.136714,-1320,-2183,2559,4760,16824,25784,32,-8,7
2018-01-02T12:12:22.344699,3363,-565,944,4792,3104,21920,7,-12,7
2018-01-02T12:12:22.552549,5200,2316,-127,-6916,-4260,20316,-11,18,7
2018-01-02T12:12:22.760159,26,446,1365,-2824,-4032,12776,-17,11,7
2018-01-02T12:12:22.968330,4200,1429,-424,-100,8868,16080,28,0,7
2018-01-02T12:12:23.176126,-3439,-2816,1749,-6348,-9300,15040,-29,19,7
2018-01-02T12:12:23.384854,16139,-341,-828,8400,9776,20840,23,-20,7
2018-01-02T12:12:23.591768,3120,-73,3478,1324,11660,19420,30,-3,7
2018-01-02T12:12:23.799110,927,2822,3708,-5504,6268,7884,33,28,7
2018-01-02T12:12:24.005784,-2733,3110,1107,-744,-11916,17072,-34,2,7
2018-01-02T12:12:24.212635,3881,3283,-684,-3412,-608,18636,-1,10,7
2018-01-02T12:12:24.419553,-1520,1741,114,-5172,-5604,11596,-23,21,7
2018-01-02T12:12:24.629016,7117,-101,894,6656,6436,29520,12,-12,7
2018-01-02T12:12:24.836082,120,1517,-355,-10672,-22340,8108,-59,24,7
2018-01-02T12:12:25.042987,2346,-149,340,104,2656,22744,6,0,7
2018-01-02T12:12:25.249847,5932,1856,-115,-1652,-2608,19356,-7,4,7
2018-01-02T12:12:25.456682,32767,17476,-4010,15048,31231,32767,40,-18,7
2018-01-02T12:12:25.663503,-32768,-32768,27832,12440,4620,-25180,9,-25,7
2018-01-02T12:12:25.870349,-9053,-3859,-10353,-12036,-32768,-18572,-55,17,7
2018-01-02T12:12:26.077677,5578,71,-1035,-8432,32767,29316,47,10,7
2018-01-02T12:12:26.286980,-3039,-1391,-103,-6480,-12464,11008,-44,21,7
2018-01-02T12:12:26.493638,1679,-2595,822,2772,4852,16348,16,-9,7
2018-01-02T12:12:26.700929,-3640,-3357,1778,-1580,-20616,12120,-59,3,7
2018-01-02T12:12:26.907938,3530,75,3239,2396,6036,28016,12,-4,7
2018-01-02T12:12:27.116390,-127,185,1426,0,-4816,10148,-25,0,7
2018-01-02T12:12:27.323270,2288,2259,-196,1632,-1080,18776,-3,-4,7
2018-01-02T12:12:27.530651,-734,984,-460,520,1488,16172,5,-1,7
2018-01-02T12:12:27.739197,947,-114,-1,-2712,136,20708,0,7,7
2018-01-02T12:12:27.945918,6978,233,1012,1524,12540,20436,31,-3,7
2018-01-02T12:12:28.152844,-3521,-311,711,-3492,-17164,4420,-71,11,7
2018-01-02T12:12:28.359794,7085,2198,1703,728,6696,22868,16,-1,7
2018-01-02T12:12:28.566790,5566,3807,947,-2036,3556,18704,10,6,7
2018-01-02T12:12:28.773616,2562,452,-159,-2932,-3492,22912,-8,7,7
2018-01-02T12:12:28.980741,-99,-345,62,-1628,116,17504,0,5,7
2018-01-02T12:12:29.187444,3420,1765,517,2680,9064,25012,19,-5,7
2018-01-02T12:12:29.394619,-5259,-2637,3335,-5208,-2588,7928,-15,31,7
2018-01-02T12:12:29.602185,1024,2792,-2383,-3948,1436,24796,3,9,7
2018-01-02T12:12:29.809298,6813,2761,-650,868,1340,22460,3,-2,7
2018-01-02T12:12:30.016099,-6246,-2428,3136,-2828,-88,10004,0,15,7
2018-01-02T12:12:30.224490,-32768,-32768,19697,-8092,-25856,-16380,-54,14,7
2018-01-02T12:12:30.431627,32767,13798,-1563,32767,32767,26872,37,-37,7
2018-01-02T12:12:30.639808,-15856,-11941,435,3940,-11396,10640,-45,-14,7
2018-01-02T12:12:30.847874,733,2545,-2718,-4744,-14156,17364,-38,11,7
2018-01-02T12:12:35.012963,-6946,-698,-2725,-2588,-7756,12356,-31,10,8
2018-01-02T12:12:35.220098,-11079,7257,-3085,-9216,-3780,12524,-13,35,8
2018-01-02T12:12:35.428195,-812,-1728,316,4028,8184,13520,30,-14,8
2018-01-02T12:12:35.635744,4068,1573,-2301,716,27420,32644,40,0,8
2018-01-02T12:12:35.842724,14750,13739,-8977,-3052,-18604,23988,-37,5,8
2018-01-02T12:12:36.049842,3104,3499,2472,-21824,12736,30880,18,33,8
2018-01-02T12:12:36.257445,15897,4228,5223,-708,8360,32767,14,1,8
2018-01-02T12:12:36.466375,2548,-4525,7021,-48,-2120,-7652,-15,0,8
2018-01-02T12:12:36.673527,-32768,-772,1618,-27776,-32768,9480,-48,39,8
2018-01-02T12:12:36.880802,-3999,640,-5242,2640,-22208,24360,-42,-4,8
2018-01-02T12:12:37.088779,20960,-1379,7415,-2564,32767,31744,45,3,8
2018-01-02T12:12:37.295530,-12853,-3551,547,-32768,-32768,-16960,-41,41,8
2018-01-02T12:12:37.502799,13888,-515,3561,16668,25960,32767,35,-21,8
2018-01-02T12:12:37.709788,4346,6274,-3691,1568,26404,16288,58,-2,8
